Date,Close,High,Low,Open,Volume
2018-09-10,2669.49,2703.43,2667.32,2698.01,103600
2018-09-11,2664.8,2680.57,2652.7,2668.49,99900
2018-09-12,2656.11,2672.07,2647.17,2659.74,90000
2018-09-13,2686.58,2689.06,2653.19,2679.21,107300
2018-09-14,2681.64,2694.92,2675.29,2688.78,100000
2018-09-17,2651.79,2671.29,2647.92,2671.29,88200
2018-09-18,2699.95,2700.19,2644.3,2644.3,115800
2018-09-19,2730.85,2746.08,2690.99,2694.8,141600
2018-09-20,2729.24,2743.97,2724.08,2732.17,111400
2018-09-21,2797.49,2797.49,2722.03,2733.87,158000
2018-09-25,2781.14,2790.03,2771.16,2775.07,112000
2018-09-26,2806.81,2827.34,2783.34,2785.32,139600
2018-09-27,2791.77,2810.51,2786.32,2805.79,124000
2018-09-28,2821.35,2821.75,2791.84,2794.26,134300
2018-10-08,2716.51,2771.94,2710.18,2768.21,149500
2018-10-09,2721.01,2734.31,2711.2,2713.73,116800
2018-10-10,2725.84,2743.55,2703.06,2723.72,113500
2018-10-11,2583.46,2661.29,2560.32,2643.07,197200
2018-10-12,2606.91,2615.92,2536.67,2574.04,170100
2018-10-15,2568.1,2611.97,2564.74,2605.91,118600
2018-10-16,2546.33,2597.72,2536.44,2567.76,119400
2018-10-17,2561.61,2582.55,2517.57,2574.31,130000
2018-10-18,2486.42,2544.91,2485.62,2544.91,125400
2018-10-19,2550.47,2553.39,2449.2,2460.08,147300
2018-10-22,2654.88,2675.41,2565.64,2565.64,211900
2018-10-23,2594.83,2659.81,2583.26,2652.65,178300
2018-10-24,2603.29,2640.4,2577.77,2579.97,160100
2018-10-25,2603.8,2606.1,2531.53,2540.94,162000
2018-10-26,2598.85,2626.12,2580.84,2610.9,158900
2018-10-29,2542.1,2595.54,2529.19,2593.59,134200
2018-10-30,2568.05,2586.92,2521.78,2538.57,166700
2018-10-31,2602.78,2612.92,2567.03,2573.01,180600
2018-11-01,2606.24,2636.8,2603.65,2617.03,200900
2018-11-02,2676.48,2676.48,2628.87,2649.25,225000
2018-11-05,2665.43,2673.19,2639.27,2665.43,193800
2018-11-06,2659.36,2660.86,2635.32,2660.72,163700
2018-11-07,2641.34,2675.68,2639.25,2659.84,173200
2018-11-08,2635.63,2662.37,2632.3,2660.09,159600
2018-11-09,2598.87,2621.24,2598.16,2621.24,152400
2018-11-12,2630.52,2631.17,2590.21,2593.2,175000
2018-11-13,2654.88,2666.49,2597.35,2600.5,249300
2018-11-14,2632.24,2658.31,2627.96,2648.31,238400
2018-11-15,2668.17,2668.17,2631.89,2632.14,207800
2018-11-16,2679.11,2695.57,2657.03,2669.78,242200
2018-11-19,2703.51,2703.51,2674.18,2681.9,231700
2018-11-20,2645.85,2690.83,2643.36,2684.29,215900
2018-11-21,2651.5,2653.8,2617.78,2619.82,182600
2018-11-22,2645.43,2658.0,2634.48,2655.9,149300
2018-11-23,2579.48,2642.04,2577.35,2640.67,191500
2018-11-26,2575.81,2595.0,2568.03,2580.84,134300
2018-11-27,2574.68,2592.53,2566.17,2585.83,123700
2018-11-28,2601.74,2601.96,2561.56,2575.45,146000
2018-11-29,2567.44,2617.55,2567.44,2613.78,157200
2018-11-30,2588.19,2590.21,2555.32,2564.56,139300
2018-12-03,2654.8,2665.3,2629.18,2647.13,207500
2018-12-04,2665.96,2666.08,2644.9,2651.56,167900
2018-12-05,2649.8,2660.39,2625.91,2629.83,154500
2018-12-06,2605.18,2633.68,2603.13,2629.82,141700
2018-12-07,2605.89,2614.58,2599.28,2609.34,109100
2018-12-10,2584.58,2599.76,2576.24,2589.19,113200
2018-12-11,2594.09,2596.15,2583.2,2587.01,101300
2018-12-12,2602.15,2610.01,2595.07,2608.11,103500
2018-12-13,2634.05,2645.84,2599.46,2607.14,150700
2018-12-14,2593.74,2629.16,2593.74,2627.28,145900
2018-12-17,2597.97,2598.97,2573.87,2587.26,117400
2018-12-18,2576.65,2599.15,2563.57,2583.63,117000
2018-12-19,2549.56,2579.87,2547.08,2578.68,107700
2018-12-20,2536.27,2554.86,2516.02,2544.5,120600
2018-12-21,2516.25,2527.42,2498.69,2526.55,115700
2018-12-24,2527.01,2529.44,2500.44,2506.74,97300
2018-12-25,2504.82,2513.96,2462.84,2503.95,136500
2018-12-26,2498.29,2513.83,2492.08,2501.12,108800
2018-12-27,2483.09,2532.0,2483.09,2527.72,135400
2018-12-28,2493.9,2505.11,2478.32,2483.62,119200
2019-01-02,2465.29,2500.28,2456.42,2497.88,109900
2019-01-03,2464.36,2488.48,2455.93,2461.78,124400
2019-01-04,2514.87,2515.32,2440.91,2446.02,168900
2019-01-07,2533.09,2536.98,2515.51,2528.7,177300
2019-01-08,2526.46,2531.34,2520.17,2530.3,158100
2019-01-09,2544.34,2574.41,2536.16,2536.42,191900
2019-01-10,2535.1,2551.83,2531.66,2543.85,159900
2019-01-11,2553.83,2554.79,2533.36,2539.55,149400
2019-01-14,2535.76,2556.29,2533.01,2553.33,144800
2019-01-15,2570.34,2571.5,2532.43,2537.37,160300
2019-01-16,2570.42,2574.24,2563.01,2569.07,149300
2019-01-17,2559.64,2582.56,2557.71,2573.58,162500
2019-01-18,2596.01,2598.88,2565.9,2567.74,190800
2019-01-21,2610.51,2618.98,2599.06,2599.06,163400
2019-01-22,2579.7,2609.64,2573.06,2609.64,152500
2019-01-23,2581.0,2589.51,2572.41,2575.26,131400
2019-01-24,2591.69,2597.29,2569.7,2584.65,154000
2019-01-25,2601.72,2617.0,2595.63,2596.26,159400
2019-01-28,2596.98,2630.32,2591.1,2615.71,147000
2019-01-29,2594.25,2601.74,2559.98,2592.35,155600
2019-01-30,2575.58,2598.81,2575.41,2584.75,120500
2019-01-31,2584.57,2606.63,2571.58,2581.33,154300
2019-02-01,2618.23,2618.48,2590.55,2597.78,132000
2019-02-11,2653.9,2654.1,2613.17,2613.17,154900
2019-02-12,2671.89,2674.48,2648.83,2654.03,184100
2019-02-13,2721.07,2727.07,2666.52,2674.52,243800
2019-02-14,2719.7,2729.46,2707.49,2715.54,197000
2019-02-15,2682.39,2715.63,2679.78,2712.79,196000
2019-02-18,2754.36,2754.36,2699.82,2699.82,260400
2019-02-19,2755.65,2780.78,2737.59,2759.5,288000
2019-02-20,2761.22,2767.41,2739.98,2761.06,246000
2019-02-21,2751.8,2794.01,2744.98,2759.94,298600
2019-02-22,2804.23,2804.23,2736.33,2749.46,301500
2019-02-25,2961.28,2961.79,2838.39,2838.39,528700
2019-02-26,2941.52,2995.68,2938.62,2969.1,565600
2019-02-27,2953.82,2997.49,2924.64,2939.93,475000
2019-02-28,2940.95,2965.3,2930.2,2950.05,350200
2019-03-01,2994.0,2994.0,2930.83,2954.4,345800
2019-03-04,3027.58,3090.8,3006.94,3015.94,525600
2019-03-05,3054.25,3054.96,3009.45,3019.88,424100
2019-03-06,3102.1,3103.82,3050.11,3060.43,555000
2019-03-07,3106.42,3129.94,3074.98,3103.67,583800
2019-03-08,2969.86,3075.05,2969.58,3038.34,577900
2019-03-11,3026.99,3028.25,2963.58,2969.08,426200
2019-03-12,3060.31,3093.39,3029.9,3049.08,511200
2019-03-13,3026.95,3065.29,3013.93,3062.33,453200
2019-03-14,2990.69,3041.16,2968.82,3013.6,373100
2019-03-15,3021.75,3048.12,2999.43,3000.88,341200
2019-03-18,3096.42,3096.42,3009.51,3027.8,397800
2019-03-19,3090.98,3113.43,3076.36,3099.9,350900
2019-03-20,3090.64,3102.52,3053.45,3084.17,358600
2019-03-21,3101.46,3125.02,3086.85,3094.12,414300
2019-03-22,3104.15,3107.27,3064.88,3100.73,364800
2019-03-25,3043.03,3087.0,3041.95,3058.8,380300
2019-03-26,2997.09,3062.69,2988.49,3057.56,353500
2019-03-27,3022.72,3022.76,2987.77,3012.26,291400
2019-03-28,2994.94,3025.78,2991.78,3009.8,288100
2019-03-29,3090.76,3093.03,2999.99,3000.68,375100
2019-04-01,3170.36,3176.62,3111.66,3111.66,466100
2019-04-02,3176.82,3193.27,3164.91,3183.27,447100
2019-04-03,3216.29,3219.26,3152.33,3159.15,430500
2019-04-04,3246.57,3254.14,3216.85,3233.69,469100
2019-04-08,3244.81,3288.45,3210.51,3271.27,504500
2019-04-09,3239.66,3251.65,3215.71,3240.39,364200
2019-04-10,3241.93,3264.78,3204.88,3224.65,380100
2019-04-11,3189.96,3254.13,3185.55,3241.55,353000
